true_x,true_y,pred_x,pred_y
"[47.6, 45.46666666666667, 45.2, 45.2, 50.13333333333333, 50.93333333333333, 50.53333333333333, 46.53333333333333, 46.666666666666664, 46.93333333333333, 50.13333333333333, 49.46666666666667, 49.06666666666667, 47.333333333333336, 48.13333333333333, 46.666666666666664, 49.2]","[46.208530805687204, 51.8957345971564, 58.056872037914694, 65.16587677725119, 51.4218009478673, 58.056872037914694, 64.69194312796209, 65.87677725118483, 75.82938388625593, 84.36018957345972, 66.11374407582939, 74.64454976303317, 82.93838862559242, 45.26066350710901, 44.78672985781991, 44.07582938388626, 45.023696682464454]","[47.65625, 45.57291666666667, 45.0, 45.15625, 50.15625, 50.88541666666667, 50.72916666666667, 47.13541666666667, 47.291666666666664, 47.5, 49.635416666666664, 49.73958333333333, 49.73958333333333, 47.291666666666664, 48.020833333333336, 46.71875, 49.270833333333336]","[45.46296296296296, 51.57407407407407, 58.611111111111114, 63.61111111111111, 51.01851851851852, 57.870370370370374, 62.87037037037037, 64.44444444444444, 73.79629629629629, 83.14814814814815, 64.16666666666667, 73.51851851851852, 82.4074074074074, 44.72222222222222, 44.72222222222222, 45.55555555555556, 45.370370370370374]"
"[60.666666666666664, 58.266666666666666, 57.333333333333336, 57.2, 61.733333333333334, 63.333333333333336, 61.333333333333336, 58.93333333333333, 58.53333333333333, 58.666666666666664, 61.333333333333336, 61.46666666666667, 61.06666666666667, 60.13333333333333, 61.06666666666667, 59.333333333333336, 61.733333333333334]","[33.88625592417062, 37.203791469194314, 43.36492890995261, 47.867298578199055, 36.96682464454976, 42.18009478672986, 39.09952606635071, 48.34123222748815, 53.55450236966825, 60.426540284360186, 48.34123222748815, 54.2654028436019, 60.90047393364929, 32.70142180094787, 33.175355450236964, 32.93838862559242, 33.41232227488152]","[60.3125, 57.96875, 57.291666666666664, 57.08333333333333, 62.03125000000001, 62.864583333333336, 62.34375, 58.802083333333336, 58.177083333333336, 58.020833333333336, 61.25000000000001, 61.5625, 60.9375, 59.947916666666664, 60.729166666666664, 59.42708333333333, 61.302083333333336]","[33.24074074074074, 37.22222222222222, 42.592592592592595, 47.129629629629626, 37.03703703703704, 41.66666666666667, 40.46296296296296, 47.592592592592595, 55.46296296296296, 61.66666666666667, 47.592592592592595, 55.37037037037037, 61.01851851851852, 32.592592592592595, 32.68518518518518, 32.68518518518518, 32.870370370370374]"
"[46.93333333333333, 45.86666666666667, 43.733333333333334, 44.93333333333333, 50.266666666666666, 50.53333333333333, 50.93333333333333, 46.666666666666664, 47.2, 47.46666666666667, 48.266666666666666, 49.06666666666667, 49.2, 46.93333333333333, 47.6, 0.0, 48.53333333333333]","[49.5260663507109, 53.08056872037915, 54.502369668246445, 51.4218009478673, 53.55450236966825, 59.95260663507109, 64.21800947867298, 65.63981042654028, 72.27488151658768, 77.48815165876778, 65.40284360189574, 72.27488151658768, 78.19905213270142, 47.867298578199055, 48.1042654028436, 0.0, 48.81516587677725]","[8.4375, 0.3645833333333333, 8.072916666666668, 47.604166666666664, 0.3645833333333333, 6.145833333333333, 45.520833333333336, 0.3645833333333333, 0.0, 5.46875, 43.75, 0.3645833333333333, 7.083333333333333, 43.22916666666667, 0.3645833333333333, 0.0, 49.73958333333333]","[43.24074074074074, 60.92592592592593, 46.2037037037037, 53.148148148148145, 63.61111111111111, 47.129629629629626, 52.31481481481482, 63.888888888888886, 51.85185185185185, 52.407407407407405, 56.574074074074076, 67.4074074074074, 52.5, 61.66666666666667, 71.29629629629629, 0.0, 53.61111111111111]"
"[50.27624309392265, 48.61878453038674, 48.20441988950276, 49.033149171270715, 51.51933701657459, 51.93370165745856, 51.10497237569061, 48.89502762430939, 49.033149171270715, 49.58563535911602, 50.966850828729285, 50.69060773480663, 50.552486187845304, 50.13812154696133, 50.69060773480663, 49.58563535911602, 50.966850828729285]","[37.83783783783784, 39.55773955773956, 42.997542997543, 43.24324324324324, 39.31203931203931, 43.48894348894349, 42.997542997543, 46.19164619164619, 52.57985257985258, 57.24815724815725, 46.19164619164619, 53.07125307125307, 57.24815724815725, 36.85503685503686, 37.1007371007371, 36.11793611793612, 35.62653562653563]","[50.572916666666664, 50.520833333333336, 54.84375, 48.75, 48.229166666666664, 49.791666666666664, 51.61458333333333, 51.71875, 50.72916666666667, 48.802083333333336, 54.84375, 49.6875, 54.6875, 49.47916666666667, 54.73958333333333, 50.78125, 54.166666666666664]","[37.03703703703704, 39.44444444444444, 37.407407407407405, 40.09259259259259, 43.05555555555556, 42.77777777777778, 39.07407407407407, 42.96296296296296, 43.611111111111114, 46.01851851851852, 47.40740740740741, 52.22222222222223, 54.72222222222223, 56.94444444444444, 61.38888888888889, 46.2037037037037, 47.31481481481482]"
"[64.8780487804878, 58.86178861788618, 54.47154471544715, 53.49593495934959, 61.46341463414634, 59.1869918699187, 59.83739837398374, 55.9349593495935, 57.886178861788615, 57.886178861788615, 0.0, 51.707317073170735, 47.642276422764226, 64.8780487804878, 0.0, 62.926829268292686, 0.0]","[35.072463768115945, 38.84057971014493, 46.3768115942029, 53.333333333333336, 38.55072463768116, 45.507246376811594, 51.30434782608695, 52.46376811594203, 64.92753623188406, 73.6231884057971, 0.0, 61.15942028985507, 67.53623188405797, 33.04347826086956, 0.0, 32.17391304347826, 0.0]","[64.94791666666667, 59.583333333333336, 55.052083333333336, 53.489583333333336, 60.416666666666664, 58.12500000000001, 59.84374999999999, 55.36458333333333, 35.67708333333333, 58.28124999999999, 0.0, 35.833333333333336, 18.802083333333332, 58.75, 0.0, 35.104166666666664, 0.0]","[35.27777777777778, 37.31481481481482, 44.25925925925926, 51.75925925925926, 36.666666666666664, 45.27777777777778, 49.907407407407405, 52.68518518518519, 0.6481481481481481, 62.96296296296296, 0.0, 7.87037037037037, 13.61111111111111, 73.88888888888889, 0.0, 0.6481481481481481, 0.0]"
"[44.13333333333333, 43.46666666666667, 0.0, 42.266666666666666, 46.93333333333333, 47.733333333333334, 47.86666666666667, 44.13333333333333, 43.86666666666667, 43.46666666666667, 46, 46.4, 46.4, 43.86666666666667, 44.53333333333333, 43.333333333333336, 45.46666666666667]","[50, 52.843601895734594, 0.0, 54.73933649289099, 52.843601895734594, 60.66350710900474, 65.16587677725119, 67.06161137440758, 73.69668246445498, 79.62085308056872, 65.87677725118483, 73.93364928909952, 79.14691943127963, 49.052132701421804, 49.052132701421804, 49.5260663507109, 49.052132701421804]","[44.21875, 42.864583333333336, 0.0, 40.3125, 46.979166666666664, 47.760416666666664, 47.708333333333336, 43.541666666666664, 43.541666666666664, 43.802083333333336, 45.989583333333336, 46.197916666666664, 45.83333333333333, 43.75, 44.84375, 43.22916666666667, 45.57291666666667]","[49.25925925925926, 53.51851851851852, 0.0, 58.24074074074074, 53.888888888888886, 59.351851851851855, 65.46296296296296, 65.55555555555556, 73.24074074074073, 80.55555555555556, 65.37037037037037, 73.14814814814815, 80.46296296296296, 48.333333333333336, 48.42592592592593, 49.44444444444444, 49.166666666666664]"
"[0.0, 50.27624309392265, 49.033149171270715, 50.13812154696133, 52.6243093922652, 52.90055248618785, 51.51933701657459, 49.86187845303867, 50.27624309392265, 50.41436464088398, 52.209944751381215, 51.93370165745856, 51.93370165745856, 0.0, 0.0, 50.69060773480663, 51.93370165745856]","[0.0, 47.42014742014742, 47.665847665847664, 45.20884520884521, 47.91154791154791, 51.105651105651106, 52.334152334152336, 54.54545454545455, 59.45945945945946, 63.39066339066339, 54.2997542997543, 59.70515970515971, 63.63636363636363, 0.0, 0.0, 44.22604422604422, 45.7002457002457]","[0.0, 50.46874999999999, 50.260416666666664, 50.46874999999999, 51.87500000000001, 52.29166666666667, 51.5625, 50.520833333333336, 50.416666666666664, 50.31250000000001, 51.51041666666667, 51.40625, 50.989583333333336, 0.0, 0.0, 50.572916666666664, 51.61458333333333]","[0.0, 48.05555555555556, 50.18518518518519, 50.64814814814815, 48.148148148148145, 50.37037037037037, 50.46296296296296, 52.87037037037037, 57.22222222222222, 61.85185185185185, 53.05555555555556, 57.870370370370374, 62.40740740740741, 0.0, 0.0, 45.925925925925924, 46.2037037037037]"
"[42.52199413489736, 41.348973607038126, 40.02932551319648, 41.495601173020525, 44.57478005865103, 44.72140762463343, 44.72140762463343, 41.495601173020525, 41.64222873900293, 41.935483870967744, 44.13489736070381, 43.988269794721404, 43.401759530791786, 42.08211143695015, 42.81524926686217, 41.348973607038126, 43.54838709677419]","[41.514360313315926, 44.90861618798956, 46.73629242819843, 43.34203655352481, 45.43080939947781, 51.174934725848566, 56.13577023498694, 56.13577023498694, 62.66318537859008, 67.88511749347259, 56.13577023498694, 61.8798955613577, 66.84073107049609, 40.992167101827675, 40.992167101827675, 40.992167101827675, 40.731070496083554]","[42.291666666666664, 41.302083333333336, 40.572916666666664, 39.635416666666664, 44.21875, 44.6875, 44.79166666666667, 41.979166666666664, 41.66666666666667, 41.875, 43.4375, 43.28125, 43.072916666666664, 42.083333333333336, 42.65625, 42.1875, 43.22916666666667]","[41.85185185185185, 45.0, 48.05555555555556, 49.166666666666664, 45.0, 49.25925925925926, 54.25925925925926, 53.888888888888886, 61.29629629629629, 67.77777777777779, 54.074074074074076, 61.01851851851852, 67.87037037037037, 41.2962962962963, 41.2962962962963, 41.48148148148148, 41.48148148148148]"
"[47.06666666666667, 43.06666666666667, 41.733333333333334, 42.53333333333333, 48.4, 50.8, 48.266666666666666, 44.93333333333333, 44.13333333333333, 44.8, 48.13333333333333, 48, 47.86666666666667, 46.266666666666666, 47.733333333333334, 45.06666666666667, 47.86666666666667]","[36.25592417061611, 40.52132701421801, 50.23696682464455, 56.872037914691944, 39.81042654028436, 47.867298578199055, 55.45023696682465, 59.47867298578199, 72.03791469194313, 81.99052132701422, 59.241706161137444, 72.74881516587678, 81.99052132701422, 35.07109004739336, 34.12322274881517, 35.54502369668246, 35.308056872037916]","[47.239583333333336, 42.760416666666664, 41.197916666666664, 42.44791666666667, 49.166666666666664, 50.83333333333333, 49.010416666666664, 44.114583333333336, 44.0625, 43.75, 48.072916666666664, 48.020833333333336, 47.91666666666667, 46.25, 47.604166666666664, 44.6875, 46.61458333333333]","[35.648148148148145, 41.66666666666667, 49.72222222222222, 56.75925925925925, 41.48148148148148, 49.53703703703704, 55.00000000000001, 59.351851851851855, 71.94444444444444, 83.88888888888889, 59.166666666666664, 72.12962962962963, 83.79629629629629, 34.25925925925926, 34.074074074074076, 35.18518518518518, 35.37037037037037]"
"[0.0, 46.93333333333333, 45.46666666666667, 46.93333333333333, 50.666666666666664, 51.06666666666667, 50.93333333333333, 47.333333333333336, 47.333333333333336, 47.733333333333334, 49.333333333333336, 49.46666666666667, 49.333333333333336, 0.0, 48.8, 0.0, 49.6]","[0.0, 43.60189573459716, 45.26066350710901, 41.46919431279621, 45.26066350710901, 50.71090047393365, 54.02843601895734, 57.58293838862559, 64.21800947867298, 67.06161137440758, 57.81990521327014, 63.03317535545024, 67.29857819905213, 0.0, 39.573459715639814, 0.0, 40.52132701421801]","[0.0, 46.510416666666664, 45.104166666666664, 45.83333333333333, 50.10416666666667, 50.9375, 50.72916666666667, 47.34375, 47.39583333333333, 47.8125, 49.21875, 49.166666666666664, 49.0625, 0.0, 48.541666666666664, 0.0, 49.47916666666667]","[0.0, 43.888888888888886, 46.111111111111114, 42.407407407407405, 44.81481481481481, 48.51851851851852, 53.05555555555556, 54.35185185185185, 61.38888888888889, 67.22222222222223, 54.53703703703704, 61.75925925925926, 67.5925925925926, 0.0, 40.0, 0.0, 40.74074074074074]"
